step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.42133,0.69913,1.47897,0.67694
2,2.29176,0.5388,1.64325,0.65835
3,1.4073,0.71737,2.27907,0.51643
4,1.42333,0.68776,1.2236,0.75751
5,0.7791,0.83436,1.79598,0.60656
6,1.68131,0.6591,1.87995,0.5944
7,1.34039,0.71848,1.20099,0.76023
8,1.47144,0.68468,1.78879,0.60542
9,1.68975,0.63152,1.48954,0.66698
10,1.68846,0.63205,1.41475,0.70028
11,1.34392,0.7021,1.84179,0.59082
12,1.69687,0.63166,0.93973,0.78534
13,1.41562,0.67756,1.7329,0.62871
14,0.99031,0.781,1.68195,0.61417
15,1.31951,0.72778,1.00366,0.7881
16,1.61631,0.62951,1.87315,0.57551
17,1.28082,0.72779,1.27813,0.7009
18,1.12701,0.75112,1.1776,0.74087
19,1.14422,0.73909,1.78619,0.61024
20,2.02694,0.56485,0.9789,0.75886
21,1.66607,0.67012,1.39187,0.69459
22,0.68358,0.84557,1.82137,0.57549
23,0.94949,0.77687,0.852,0.82077
24,1.1755,0.73902,1.52308,0.64262
25,1.50516,0.65211,1.38595,0.67888
26,1.64582,0.65503,0.99361,0.7916
27,0.59441,0.85639,1.54987,0.64232
28,0.52566,0.88774,1.12972,0.73255
29,1.00708,0.78067,1.28963,0.7097
30,0.68395,0.83069,1.68873,0.61892
31,0.40478,0.89514,0.6849,0.83151
32,2.1404,0.53794,1.63693,0.63119
33,0.97725,0.75963,1.50909,0.64687
34,1.66351,0.65339,0.85986,0.81529
35,1.41819,0.70539,1.79328,0.58138
36,0.32487,0.91353,1.1066,0.73562
37,0.68461,0.83981,1.12192,0.74594
38,0.86909,0.80982,1.71921,0.62097
39,1.09462,0.74375,0.86916,0.78233
40,1.71081,0.64552,1.34268,0.69875
41,1.45073,0.65063,1.7249,0.59666
42,1.08675,0.75035,0.78864,0.82815
43,1.10896,0.74445,1.47158,0.64721
44,1.26374,0.73527,1.30556,0.69313
45,0.96758,0.79847,0.95452,0.79638
46,1.6744,0.64431,1.51743,0.63855
47,1.64256,0.63525,1.06126,0.74434
48,0.97105,0.77945,1.26184,0.7108
49,1.39092,0.68246,1.65559,0.62234
50,0.89155,0.79431,0.64391,0.83817
51,0.743,0.84742,1.62101,0.63243
52,1.58597,0.65971,1.47263,0.6545
53,0.90695,0.80268,0.83325,0.81632
54,1.96841,0.57423,1.77815,0.58138
55,1.24129,0.7205,1.08107,0.73847
56,1.13219,0.74229,1.10663,0.74899
57,1.46794,0.67594,1.70789,0.62263
58,0.89001,0.78612,0.84908,0.78601
59,0.46647,0.8752,1.33329,0.69994
